ID,Title,Type,Priority,Start Date,End Date,Status,YYYY-Week,YYYY-MM,YYYY,Cycle Time (days),Current Age (days),URL,Done ≤ 1 day,Done ≤ 7 days,Done ≤ 14 days,Done ≤ 21 days,Done ≤ 28 days
DONE-37,Implement user authentication and session management for the API,Story,Medium,2025-10-14,2025-10-19,Done,2025-W42,2025-10,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-38,Implement real-time notifications using WebSockets,Task,Medium,2025-10-24,2025-10-29,Done,2025-W44,2025-10,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-79,Improve search indexing performance for large datasets,Improvement,Medium,2025-10-24,2025-10-29,Done,2025-W44,2025-10,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-13,Redesign the reporting dashboard with filterable date ranges,Bug,Medium,2025-10-26,2025-11-13,Done,2025-W46,2025-11,2025,19,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-81,Implement automated data export with configurable scheduling,Improvement,Medium,2025-10-26,2025-10-28,Done,2025-W44,2025-10,2025,3,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-92,Add role-based access control to the admin management panel,Story,Medium,2025-10-28,2025-11-11,Done,2025-W46,2025-11,2025,15,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-101,Implement bulk import feature for CSV product data uploads,Story,Medium,2025-11-10,2025-11-28,Done,2025-W48,2025-11,2025,19,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-150,Resolve CSS layout issues on mobile devices in Safari,Task,Medium,2025-11-12,2025-12-02,Done,2025-W49,2025-12,2025,21,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-78,Implement two-factor authentication for privileged user accounts,Improvement,Medium,2025-11-13,2025-11-29,Done,2025-W48,2025-11,2025,17,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-6,Create dashboard for monitoring real-time system health metrics,Story,Medium,2025-11-17,2025-11-23,Done,2025-W47,2025-11,2025,7,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-77,Add automated regression tests for the payment processing flow,Bug,Medium,2025-11-22,2025-11-30,Done,2025-W48,2025-11,2025,9,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-143,Implement configurable rate limiting for the public REST API,Improvement,Medium,2025-11-22,2025-12-12,Done,2025-W50,2025-12,2025,21,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-75,Add dark mode support to the main application interface,Bug,Medium,2025-11-24,2025-11-26,Done,2025-W48,2025-11,2025,3,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-16,Optimize the recommendation engine for better response times,Task,Medium,2025-11-25,2025-12-10,Done,2025-W50,2025-12,2025,16,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
