ID,Title,Type,Priority,Start Date,End Date,Status,YYYY-Week,YYYY-MM,YYYY,Cycle Time (days),Current Age (days),Done ≤ 1 day,Done ≤ 7 days,Done ≤ 14 days,Done ≤ 21 days,Done ≤ 28 days
DONE-124,Refactor the legacy payment gateway integration module,Task,Low,2025-10-17,2025-11-01,Done,2025-W44,2025-11,2025,16,,false,false,false,true,true
DONE-104,Add support for OAuth2 single sign-on provider integration,Story,Low,2025-10-25,2025-11-02,Done,2025-W44,2025-11,2025,9,,false,false,true,true,true
DONE-61,Optimize SQL queries causing slow response times in production,Task,Low,2025-10-26,2025-11-14,Done,2025-W46,2025-11,2025,20,,false,false,false,true,true
DONE-128,Fix intermittent timeout errors in the third-party API client,Bug,Low,2025-10-28,2025-11-02,Done,2025-W44,2025-11,2025,6,,false,true,true,true,true
DONE-107,Refactor authentication middleware to use JWT token validation,Task,Low,2025-10-29,2025-11-17,Done,2025-W47,2025-11,2025,20,,false,false,false,true,true
DONE-148,Create data migration scripts for the legacy customer records,Improvement,Low,2025-10-31,2025-11-17,Done,2025-W47,2025-11,2025,18,,false,false,false,true,true
DONE-42,Implement pagination for the product catalogue endpoint,Story,Low,2025-11-05,2025-11-13,Done,2025-W46,2025-11,2025,9,,false,false,true,true,true
DONE-1,Add internationalization support for the customer-facing UI,Bug,Low,2025-11-11,2025-11-13,Done,2025-W46,2025-11,2025,3,,false,true,true,true,true
DONE-103,Implement smart caching strategy for frequently accessed resources,Improvement,Low,2025-11-21,2025-11-26,Done,2025-W48,2025-11,2025,6,,false,true,true,true,true
DONE-3,Fix data inconsistency bug in the inventory synchronization job,Story,Low,2025-11-22,2025-12-04,Done,2025-W49,2025-12,2025,13,,false,false,true,true,true
DONE-7,Add comprehensive API documentation using OpenAPI specification,Bug,Low,2025-12-05,2025-12-09,Done,2025-W50,2025-12,2025,5,,false,true,true,true,true
DONE-84,Resolve slow startup time caused by heavy dependency loading,Improvement,Low,2025-12-05,2025-12-12,Done,2025-W50,2025-12,2025,8,,false,false,true,true,true
DONE-11,Fix performance regression in the data processing pipeline,Improvement,Low,2025-12-07,2025-12-11,Done,2025-W50,2025-12,2025,5,,false,true,true,true,true
DONE-2,Improve search indexing performance for large datasets,Bug,Low,2025-12-14,2025-12-24,Done,2025-W52,2025-12,2025,11,,false,false,true,true,true
DONE-35,Add support for OAuth2 single sign-on provider integration,Task,Low,2025-12-15,2025-12-17,Done,2025-W51,2025-12,2025,3,,false,true,true,true,true
DONE-22,Refactor the monolithic reporting service into microservices,Story,Low,2026-01-05,2026-01-13,Done,2026-W03,2026-01,2026,9,,false,false,true,true,true
DONE-31,Implement configurable rate limiting for the public REST API,Bug,Low,2026-01-07,2026-01-20,Done,2026-W04,2026-01,2026,14,,false,false,true,true,true
DONE-72,Fix security vulnerability in the file upload validation logic,Task,Low,2026-01-10,2026-01-16,Done,2026-W03,2026-01,2026,7,,false,true,true,true,true
DONE-137,Implement GDPR-compliant data deletion workflow for user accounts,Bug,Low,2026-01-13,2026-01-28,Done,2026-W05,2026-01,2026,16,,false,false,false,true,true
DONE-142,Fix broken pagination on the search results listing page,Task,Low,2026-01-16,2026-02-02,Done,2026-W06,2026-02,2026,18,,false,false,false,true,true
DONE-17,Add support for multiple currency display in the pricing tables,Improvement,Low,2026-01-17,2026-01-23,Done,2026-W04,2026-01,2026,7,,false,true,true,true,true
DONE-91,Fix performance regression in the data processing pipeline,Bug,Low,2026-01-28,2026-02-11,Done,2026-W07,2026-02,2026,15,,false,false,false,true,true
DONE-76,Implement real-time notifications using WebSockets,Task,Low,2026-02-03,2026-02-10,Done,2026-W07,2026-02,2026,8,,false,false,true,true,true
DONE-90,Add support for OAuth2 single sign-on provider integration,Story,Low,2026-02-03,2026-02-20,Done,2026-W08,2026-02,2026,18,,false,false,false,true,true
DONE-69,Fix intermittent timeout errors in the third-party API client,Bug,Low,2026-02-10,2026-03-01,Done,2026-W09,2026-03,2026,20,,false,false,false,true,true
DONE-40,Create data migration scripts for the legacy customer records,Improvement,Low,2026-02-13,2026-02-19,Done,2026-W08,2026-02,2026,7,,false,true,true,true,true
DONE-131,Implement webhook delivery with exponential backoff retry,Improvement,Low,2026-02-23,2026-03-07,Done,2026-W10,2026-03,2026,13,,false,false,true,true,true
DONE-63,Create dashboard for monitoring real-time system health metrics,Story,Low,2026-02-24,2026-03-15,Done,2026-W11,2026-03,2026,20,,false,false,false,true,true
DONE-47,Migrate from deprecated authentication library to current version,Task,Low,2026-02-25,2026-03-13,Done,2026-W11,2026-03,2026,17,,false,false,false,true,true
WIP-21,Refactor the monolithic authentication service into smaller modules,Task,Low,2026-02-27,,In Progress,,,,,69,,,,,
DONE-133,Optimize the recommendation engine for better response times,Improvement,Low,2026-02-28,2026-03-06,Done,2026-W10,2026-03,2026,7,,false,true,true,true,true
DONE-115,Implement feature flag system for gradual feature rollouts,Improvement,Low,2026-03-05,2026-03-22,Done,2026-W12,2026-03,2026,18,,false,false,false,true,true
WIP-39,Add support for pluggable storage backends in the file service,Bug,Low,2026-03-10,,In Progress,,,,,58,,,,,
WIP-19,Implement A/B testing framework for the checkout funnel experiments,Task,Low,2026-03-13,,In Progress,,,,,55,,,,,
WIP-22,Implement the new subscription billing model with proration support,Story,Low,2026-03-19,,In Progress,,,,,49,,,,,
WIP-11,Migrate from polling to event-driven architecture for data updates,Task,Low,2026-03-20,,In Progress,,,,,48,,,,,
WIP-32,Build the partner API portal with usage analytics and rate limiting,Bug,Low,2026-03-23,,In Progress,,,,,45,,,,,
WIP-26,Refactor the codebase to eliminate circular dependency chains,Task,Low,2026-03-24,,In Progress,,,,,44,,,,,
WIP-36,Add support for custom branding and white-labelling for enterprise,Story,Low,2026-03-25,,In Progress,,,,,43,,,,,
WIP-29,Implement serverless functions for the image transformation pipeline,Bug,Low,2026-03-26,,In Progress,,,,,42,,,,,
WIP-31,Implement idempotent API endpoints to handle duplicate client requests,Story,Low,2026-04-01,,In Progress,,,,,36,,,,,
WIP-8,Build the new incident management dashboard with on-call scheduling,Bug,Low,2026-04-06,,In Progress,,,,,31,,,,,
WIP-49,Add intelligent alerting with anomaly detection for system metrics,Improvement,Low,2026-04-11,,In Progress,,,,,26,,,,,
