ID,Title,Type,Priority,Start Date,End Date,Status,YYYY-Week,YYYY-MM,YYYY,Cycle Time (days),Current Age (days),URL,Done ≤ 1 day,Done ≤ 7 days,Done ≤ 14 days,Done ≤ 21 days,Done ≤ 28 days
PROJ-1,Implement core,,,2026-03-01,2026-03-05,Done,2026-W10,2026-03,2026,5,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,true,true,true,true
PROJ-2,Fix bug A,,,2026-03-02,2026-03-04,Done,2026-W10,2026-03,2026,3,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,true,true,true,true
PROJ-3,Add feature X,,,2026-03-05,2026-03-10,Done,2026-W11,2026-03,2026,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,true,true,true,true
PROJ-4,Update docs,,,2026-03-06,2026-03-07,Done,2026-W10,2026-03,2026,2,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,true,true,true,true
PROJ-5,Tests,,,2026-03-08,2026-03-12,Done,2026-W11,2026-03,2026,5,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,true,true,true,true
PROJ-6,Refactor,,,2026-03-10,2026-03-15,Done,2026-W11,2026-03,2026,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,true,true,true,true
PROJ-7,Security,,,2026-03-12,2026-03-18,Done,2026-W12,2026-03,2026,7,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,true,true,true,true
PROJ-8,UI change,,,2026-03-14,2026-03-20,Done,2026-W12,2026-03,2026,7,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,true,true,true,true
PROJ-9,CI setup,,,2026-03-16,2026-03-22,Done,2026-W12,2026-03,2026,7,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,true,true,true,true
PROJ-10,Deployment,,,2026-03-18,2026-03-25,Done,2026-W13,2026-03,2026,8,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,false,true,true,true
PROJ-11,Marketing,,,2026-03-20,2026-03-28,Done,2026-W13,2026-03,2026,9,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,false,true,true,true
PROJ-12,Analytics,,,2026-03-22,2026-04-01,Done,2026-W14,2026-04,2026,11,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,false,true,true,true
PROJ-13,Feedback,,,2026-03-24,2026-04-03,Done,2026-W14,2026-04,2026,11,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,false,true,true,true
PROJ-14,Cleanup,,,2026-03-26,2026-04-05,Done,2026-W14,2026-04,2026,11,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,false,true,true,true
PROJ-15,v1.0 release,,,2026-03-28,2026-04-08,Done,2026-W15,2026-04,2026,12,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,false,false,true,true,true
PROJ-16,Next gen,,,2026-04-01,,In Progress,,,,,50,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,,,,,
PROJ-17,Research,,,2026-04-03,,In Progress,,,,,48,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,,,,,
PROJ-18,Spike,,,2026-04-05,,In Progress,,,,,46,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data.csv,,,,,
