ID,Title,Type,Priority,Start Date,End Date,Status,YYYY-Week,YYYY-MM,YYYY,Cycle Time (days),Current Age (days),URL,Done ≤ 1 day,Done ≤ 7 days,Done ≤ 14 days,Done ≤ 21 days,Done ≤ 28 days
DONE-34,Add comprehensive end-to-end tests for the checkout flow,Improvement,High,2025-10-19,2025-11-03,Done,2025-W45,2025-11,2025,16,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-79,Improve search indexing performance for large datasets,Improvement,Medium,2025-10-24,2025-10-29,Done,2025-W44,2025-10,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-81,Implement automated data export with configurable scheduling,Improvement,Medium,2025-10-26,2025-10-28,Done,2025-W44,2025-10,2025,3,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-148,Create data migration scripts for the legacy customer records,Improvement,Low,2025-10-31,2025-11-17,Done,2025-W47,2025-11,2025,18,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-73,Improve error handling and retry logic in the email delivery service,Improvement,High,2025-11-10,2025-11-14,Done,2025-W46,2025-11,2025,5,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-78,Implement two-factor authentication for privileged user accounts,Improvement,Medium,2025-11-13,2025-11-29,Done,2025-W48,2025-11,2025,17,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-127,Implement webhook delivery with exponential backoff retry,Improvement,Highest,2025-11-16,2025-11-22,Done,2025-W47,2025-11,2025,7,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-103,Implement smart caching strategy for frequently accessed resources,Improvement,Low,2025-11-21,2025-11-26,Done,2025-W48,2025-11,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-143,Implement configurable rate limiting for the public REST API,Improvement,Medium,2025-11-22,2025-12-12,Done,2025-W50,2025-12,2025,21,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-95,Implement GDPR-compliant data deletion workflow for user accounts,Improvement,Medium,2025-11-29,2025-12-14,Done,2025-W50,2025-12,2025,16,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-80,Refactor the notification service to use an event-driven pattern,Improvement,Medium,2025-12-03,2025-12-12,Done,2025-W50,2025-12,2025,10,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-84,Resolve slow startup time caused by heavy dependency loading,Improvement,Low,2025-12-05,2025-12-12,Done,2025-W50,2025-12,2025,8,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-11,Fix performance regression in the data processing pipeline,Improvement,Low,2025-12-07,2025-12-11,Done,2025-W50,2025-12,2025,5,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-24,Resolve memory leak in the background job processing worker,Improvement,High,2025-12-11,2025-12-31,Done,2026-W01,2025-12,2025,21,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-129,Redesign the reporting dashboard with filterable date ranges,Improvement,High,2025-12-15,2025-12-23,Done,2025-W52,2025-12,2025,9,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-105,Fix intermittent timeout errors in the third-party API client,Improvement,Medium,2025-12-17,2025-12-25,Done,2025-W52,2025-12,2025,9,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-15,Add audit logging for all user actions in the admin interface,Improvement,Medium,2025-12-20,2026-01-05,Done,2026-W02,2026-01,2026,17,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-29,Add internationalization support for the customer-facing UI,Improvement,High,2025-12-22,2025-12-29,Done,2026-W01,2025-12,2025,8,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-66,Add GraphQL API endpoint for the mobile application team,Improvement,Medium,2025-12-28,2026-01-02,Done,2026-W01,2026-01,2026,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-58,Add support for custom fields in the customer profile section,Improvement,Medium,2026-01-02,2026-01-15,Done,2026-W03,2026-01,2026,14,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-9,Add automated regression tests for the payment processing flow,Improvement,Medium,2026-01-04,2026-01-14,Done,2026-W03,2026-01,2026,11,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-144,Add dark mode support to the main application interface,Improvement,Lowest,2026-01-10,2026-01-16,Done,2026-W03,2026-01,2026,7,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-17,Add support for multiple currency display in the pricing tables,Improvement,Low,2026-01-17,2026-01-23,Done,2026-W04,2026-01,2026,7,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
