ID,Title,Type,Priority,Start Date,End Date,Status,YYYY-Week,YYYY-MM,YYYY,Cycle Time (days),Current Age (days),URL,Done ≤ 1 day,Done ≤ 7 days,Done ≤ 14 days,Done ≤ 21 days,Done ≤ 28 days
DONE-37,Implement user authentication and session management for the API,Story,Medium,2025-10-14,2025-10-19,Done,2025-W42,2025-10,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-96,Fix performance regression in the data processing pipeline,Bug,Highest,2025-10-14,2025-10-25,Done,2025-W43,2025-10,2025,12,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-124,Refactor the legacy payment gateway integration module,Task,Low,2025-10-17,2025-11-01,Done,2025-W44,2025-11,2025,16,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-34,Add comprehensive end-to-end tests for the checkout flow,Improvement,High,2025-10-19,2025-11-03,Done,2025-W45,2025-11,2025,16,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-99,Migrate database schema to support multi-tenancy architecture,Story,High,2025-10-20,2025-10-30,Done,2025-W44,2025-10,2025,11,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-26,Resolve memory leak in the background job processing worker,Bug,High,2025-10-22,2025-11-02,Done,2025-W44,2025-11,2025,12,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-38,Implement real-time notifications using WebSockets,Task,Medium,2025-10-24,2025-10-29,Done,2025-W44,2025-10,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-79,Improve search indexing performance for large datasets,Improvement,Medium,2025-10-24,2025-10-29,Done,2025-W44,2025-10,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-104,Add support for OAuth2 single sign-on provider integration,Story,Low,2025-10-25,2025-11-02,Done,2025-W44,2025-11,2025,9,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-13,Redesign the reporting dashboard with filterable date ranges,Bug,Medium,2025-10-26,2025-11-13,Done,2025-W46,2025-11,2025,19,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-61,Optimize SQL queries causing slow response times in production,Task,Low,2025-10-26,2025-11-14,Done,2025-W46,2025-11,2025,20,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-81,Implement automated data export with configurable scheduling,Improvement,Medium,2025-10-26,2025-10-28,Done,2025-W44,2025-10,2025,3,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-92,Add role-based access control to the admin management panel,Story,Medium,2025-10-28,2025-11-11,Done,2025-W46,2025-11,2025,15,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-128,Fix intermittent timeout errors in the third-party API client,Bug,Low,2025-10-28,2025-11-02,Done,2025-W44,2025-11,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-107,Refactor authentication middleware to use JWT token validation,Task,Low,2025-10-29,2025-11-17,Done,2025-W47,2025-11,2025,20,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-148,Create data migration scripts for the legacy customer records,Improvement,Low,2025-10-31,2025-11-17,Done,2025-W47,2025-11,2025,18,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
