ID,Title,Type,Priority,Start Date,End Date,Status,YYYY-Week,YYYY-MM,YYYY,Cycle Time (days),Current Age (days),URL,Done ≤ 1 day,Done ≤ 7 days,Done ≤ 14 days,Done ≤ 21 days,Done ≤ 28 days
DONE-96,Fix performance regression in the data processing pipeline,Bug,Highest,2025-10-14,2025-10-25,Done,2025-W43,2025-10,2025,12,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-26,Resolve memory leak in the background job processing worker,Bug,High,2025-10-22,2025-11-02,Done,2025-W44,2025-11,2025,12,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-13,Redesign the reporting dashboard with filterable date ranges,Bug,Medium,2025-10-26,2025-11-13,Done,2025-W46,2025-11,2025,19,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-128,Fix intermittent timeout errors in the third-party API client,Bug,Low,2025-10-28,2025-11-02,Done,2025-W44,2025-11,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-126,Add audit logging for all user actions in the admin interface,Bug,High,2025-11-06,2025-11-16,Done,2025-W46,2025-11,2025,11,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-1,Add internationalization support for the customer-facing UI,Bug,Low,2025-11-11,2025-11-13,Done,2025-W46,2025-11,2025,3,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-56,Add GraphQL API endpoint for the mobile application team,Bug,High,2025-11-16,2025-11-29,Done,2025-W48,2025-11,2025,14,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-28,Add support for custom fields in the customer profile section,Bug,High,2025-11-19,2025-11-22,Done,2025-W47,2025-11,2025,4,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-77,Add automated regression tests for the payment processing flow,Bug,Medium,2025-11-22,2025-11-30,Done,2025-W48,2025-11,2025,9,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-75,Add dark mode support to the main application interface,Bug,Medium,2025-11-24,2025-11-26,Done,2025-W48,2025-11,2025,3,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
