ID,Title,Type,Priority,Start Date,End Date,Status,YYYY-Week,YYYY-MM,YYYY,Cycle Time (days),Current Age (days),URL,Done ≤ 1 day,Done ≤ 7 days,Done ≤ 14 days,Done ≤ 21 days,Done ≤ 28 days
DONE-124,Refactor the legacy payment gateway integration module,Task,Low,2025-10-17,2025-11-01,Done,2025-W44,2025-11,2025,16,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-38,Implement real-time notifications using WebSockets,Task,Medium,2025-10-24,2025-10-29,Done,2025-W44,2025-10,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-61,Optimize SQL queries causing slow response times in production,Task,Low,2025-10-26,2025-11-14,Done,2025-W46,2025-11,2025,20,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-107,Refactor authentication middleware to use JWT token validation,Task,Low,2025-10-29,2025-11-17,Done,2025-W47,2025-11,2025,20,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-125,Fix race condition in the concurrent order processing service,Task,Highest,2025-11-07,2025-11-11,Done,2025-W46,2025-11,2025,5,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-150,Resolve CSS layout issues on mobile devices in Safari,Task,Medium,2025-11-12,2025-12-02,Done,2025-W49,2025-12,2025,21,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-112,Fix incorrect tax calculation for cross-border transactions,Task,Lowest,2025-11-16,2025-11-22,Done,2025-W47,2025-11,2025,7,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-39,Migrate from deprecated authentication library to current version,Task,Lowest,2025-11-20,2025-11-28,Done,2025-W48,2025-11,2025,9,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-119,Refactor the monolithic reporting service into microservices,Task,High,2025-11-22,2025-12-10,Done,2025-W50,2025-12,2025,19,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-16,Optimize the recommendation engine for better response times,Task,Medium,2025-11-25,2025-12-10,Done,2025-W50,2025-12,2025,16,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-12,Implement automated database backup and point-in-time recovery,Task,Medium,2025-12-03,2025-12-08,Done,2025-W50,2025-12,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-53,Implement feature flag system for gradual feature rollouts,Task,High,2025-12-05,2025-12-23,Done,2025-W52,2025-12,2025,19,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-121,Implement user authentication and session management for the API,Task,Medium,2025-12-06,2025-12-21,Done,2025-W51,2025-12,2025,16,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-108,Migrate database schema to support multi-tenancy architecture,Task,Medium,2025-12-08,2025-12-22,Done,2025-W52,2025-12,2025,15,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-35,Add support for OAuth2 single sign-on provider integration,Task,Low,2025-12-15,2025-12-17,Done,2025-W51,2025-12,2025,3,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-8,Add role-based access control to the admin management panel,Task,Medium,2025-12-17,2025-12-21,Done,2025-W51,2025-12,2025,5,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-145,Implement pagination for the product catalogue endpoint,Task,Medium,2025-12-19,2025-12-28,Done,2025-W52,2025-12,2025,10,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-94,Implement bulk import feature for CSV product data uploads,Task,High,2025-12-21,2026-01-06,Done,2026-W02,2026-01,2026,17,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-36,Optimize image processing pipeline to reduce storage costs,Task,Medium,2025-12-27,2026-01-10,Done,2026-W02,2026-01,2026,15,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-123,Create dashboard for monitoring real-time system health metrics,Task,Medium,2026-01-01,2026-01-19,Done,2026-W04,2026-01,2026,19,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-114,Fix data inconsistency bug in the inventory synchronization job,Task,Medium,2026-01-03,2026-01-16,Done,2026-W03,2026-01,2026,14,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-72,Fix security vulnerability in the file upload validation logic,Task,Low,2026-01-10,2026-01-16,Done,2026-W03,2026-01,2026,7,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-142,Fix broken pagination on the search results listing page,Task,Low,2026-01-16,2026-02-02,Done,2026-W06,2026-02,2026,18,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-85,Fix incorrect date timezone handling in the scheduling module,Task,Medium,2026-01-18,2026-01-31,Done,2026-W05,2026-01,2026,14,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-19,Add accessibility improvements to comply with WCAG 2.1 standards,Task,High,2026-01-25,2026-02-13,Done,2026-W07,2026-02,2026,20,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-14,Refactor the legacy payment gateway integration module,Task,High,2026-01-29,2026-02-02,Done,2026-W06,2026-02,2026,5,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
