ID,Title,Type,Priority,Start Date,End Date,Status,YYYY-Week,YYYY-MM,YYYY,Cycle Time (days),Current Age (days),URL,Done ≤ 1 day,Done ≤ 7 days,Done ≤ 14 days,Done ≤ 21 days,Done ≤ 28 days
DONE-37,Implement user authentication and session management for the API,Story,Medium,2025-10-14,2025-10-19,Done,2025-W42,2025-10,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-99,Migrate database schema to support multi-tenancy architecture,Story,High,2025-10-20,2025-10-30,Done,2025-W44,2025-10,2025,11,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-104,Add support for OAuth2 single sign-on provider integration,Story,Low,2025-10-25,2025-11-02,Done,2025-W44,2025-11,2025,9,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-92,Add role-based access control to the admin management panel,Story,Medium,2025-10-28,2025-11-11,Done,2025-W46,2025-11,2025,15,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-42,Implement pagination for the product catalogue endpoint,Story,Low,2025-11-05,2025-11-13,Done,2025-W46,2025-11,2025,9,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-101,Implement bulk import feature for CSV product data uploads,Story,Medium,2025-11-10,2025-11-28,Done,2025-W48,2025-11,2025,19,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-136,Optimize image processing pipeline to reduce storage costs,Story,Highest,2025-11-13,2025-11-24,Done,2025-W48,2025-11,2025,12,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-6,Create dashboard for monitoring real-time system health metrics,Story,Medium,2025-11-17,2025-11-23,Done,2025-W47,2025-11,2025,7,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-3,Fix data inconsistency bug in the inventory synchronization job,Story,Low,2025-11-22,2025-12-04,Done,2025-W49,2025-12,2025,13,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
DONE-5,Fix security vulnerability in the file upload validation logic,Story,Lowest,2025-11-23,2025-12-09,Done,2025-W50,2025-12,2025,17,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-120,Fix broken pagination on the search results listing page,Story,Medium,2025-11-29,2025-11-30,Done,2025-W48,2025-11,2025,2,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-64,Fix incorrect date timezone handling in the scheduling module,Story,High,2025-12-04,2025-12-07,Done,2025-W49,2025-12,2025,4,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-49,Add accessibility improvements to comply with WCAG 2.1 standards,Story,Medium,2025-12-06,2025-12-21,Done,2025-W51,2025-12,2025,16,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,false,true,true
DONE-149,Refactor the legacy payment gateway integration module,Story,Medium,2025-12-07,2025-12-12,Done,2025-W50,2025-12,2025,6,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-68,Implement real-time notifications using WebSockets,Story,Medium,2025-12-13,2025-12-14,Done,2025-W50,2025-12,2025,2,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,true,true,true,true
DONE-67,Optimize SQL queries causing slow response times in production,Story,High,2025-12-16,2025-12-25,Done,2025-W52,2025-12,2025,10,,file:///home/cbroult/work/ruby/predictability-engine/data/samples/sample_data_large.csv,false,false,true,true,true
